element_name,element_class_sfb_mmg,worksection_class_sfb_mmg,worksection_name,activity_name,techflow_name,LCS_name,LCM_code,LCM_nest1_code,LCM_nest2_code,activity_type,techflow_unit,techflow_amount,indicator_GWP,indicator_PM,indicator_EP,indicator_old,indicator_aci,indicator_pof,indicator_dare,indicator_darf,indicator_HTc,indicator_HTnc,indicator_irhh,indicator_ecofw,indicator_ws,indicator_luosom,indicator_luobio,indicator_luourb,indicator_luoagr,indicator_luofor,indicator_lutsom,indicator_lutbio,indicator_luturb,indicator_lutagr
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Cork slab {RER}| production | Alloc Rec, U",A1-3: Product stage,A1-3,A1-3,-,Material in,kg,11.20,1.58E+01,1.44E-02,9.87E-03,1.5344E-06,0.0922768,0.0088256,0.000040432,269.539312,1.624E-07,0.000001288,1.125376,10.1827936,0.0767312,381.646272,21.0057904,0.174272,0.0176848,189.446096,19.0473472,-0.302848,0.0016912,-0.009744
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,fibre board + bitumen,"Fibreboard, soft, bitumised [RER]| production | Alloc Rec, U",A1-3: Product stage,A1-3,A1-3,-,Material in,m3,0.02,3.88E+00,2.40E-03,2.48E-03,7.19964E-07,0.020290286,0.00407298,3.01858E-06,82.852847,2.36764E-08,8.0369E-07,0.394829952,1.893287066,0.017280887,68.1728696,3.97331418,1.277601556,0.001540516,26.3487004,70.7370532,0.352581746,0.017646986,-0.000959474
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,screws,"Chromium steel, screws [RER]| production",A1-3: Product stage,A1-3,A1-3,-,Material in,kg,0.02,1.36E-01,1.97E-04,8.78E-05,7.36941E-09,0.000759012,6.35495E-05,2.71899E-06,1.774863536,4.93169E-08,6.54434E-08,0.004288567,0.588329882,-0.000221832,0.065905093,0.003793785,0.003090222,0.000165727,0.009158212,0.255794582,-0.002495662,1.55076E-05,-8.13823E-05
EW05 CLT + str blown,21,(41./81)Fj3 - AA - 0160,Wall - external finish | Thermal insulation | Flakes | Straw (Blow-in 160 mm) | For cavity wall,blow-in straw,"Straw, stand-alone production [RER]| production | Alloc Rec, U",A1-3: Product stage,A1-3,A1-3,-,Material in,kg,15.12,1.58E+00,7.21E-04,5.43E-03,1.0705E-07,0.00560952,0.000515592,5.27688E-06,11.9069244,-7.8624E-08,-0.000031752,0.04164048,-16.4688552,0.05741064,378.4670568,85.4561232,0.01938384,75.60040824,0.08901144,3.45841272,-0.0087696,0.0004536,-0.00061992
EW05 CLT + str blown,21,(41./81)Fj3 - AA - 0160,Wall - external finish | Thermal insulation | Flakes | Straw (Blow-in 160 mm) | For cavity wall,timber grid,"Softwood, untreated timber [BE]| production, MIX",A1-3: Product stage,A1-3,A1-3,-,Material in,m3,0.02,1.94E+00,6.88E-03,1.77E-03,2.352E-07,0.011719088,0.001079296,0.0000068,27.801136,2.992E-08,3.584E-07,0.115754064,1.9348672,-0.00196192,116.54952,6.5231056,0.66596224,0.006770224,54.14464,35.393952,0.059221472,0.008267744,-0.00369376
EW05 CLT + str blown,21,(21.1/2)Gi4 - AA - 0160,External wall - loadbearing | Primary part | Panel | CLT (160 mm) | Screwed,cross laminated timber panel (1 cm) including screws,"CLT, cross laminated timber, panel, parameterised thickness 1 cm, screwed [RER]| production",A1-3: Product stage,A1-3,A1-3,-,Material in,m2,16.00,2.95E+01,8.07E-02,2.62E-02,0.0000028,0.169536,0.016032,0.001632,436.1696,0.000001088,0.000014896,1.368544,42.8652,-0.00448,1168.40096,65.400048,6.801536,0.077072,541.80112,365.56944,0.464448,0.0832,-0.0408
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry >32 metric ton, EURO5 {RER}| transport, freight, lorry >32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,1.01,8.73E-02,4.80E-05,4.71E-05,1.74185E-08,0.000284507,2.76073E-05,1.69194E-07,1.370319048,5.75361E-10,1.62076E-08,0.006868,0.303287917,1.72044E-05,0.133728548,0.007746214,0.00905212,7.89842E-06,0.001212266,0.308771508,0.000254795,3.33225E-05,-1.35722E-05
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry 16-32 metric ton, EURO5 {RER}| transport, freight, lorry 16-32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.42,6.82E-02,3.22E-05,3.60E-05,1.28151E-08,0.000220471,1.8818E-05,2.0632E-07,1.032706082,4.98896E-10,1.00305E-08,0.004823745,0.169835556,8.67513E-06,0.055831761,0.003231716,0.003729956,8.47346E-06,0.00080734,0.204042374,0.000189684,2.36312E-05,-9.309E-06
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry 7.5-16 metric ton, EURO5 {RER}| transport, freight, lorry 7.5-16 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.05,9.84E-03,4.43E-06,5.05E-06,1.78736E-09,3.16191E-05,2.67498E-06,3.92269E-08,0.146967887,8.46646E-11,1.30839E-09,0.000668258,0.020180276,7.63583E-07,0.006627367,0.00038346,0.000438369,1.53902E-06,0.000122357,0.027846887,1.84137E-05,3.26444E-06,-1.50874E-06
EW05 CLT + str blown,21,(41./2)Rj5 - AA - 0056,Wall - external finish | Cladding | Panel | Cork (32-80 mm),cork (32-80mm),"Transport, freight, lorry 3.5-7.5 metric ton, EURO5 {RER}| transport, freight, lorry 3.5-7.5 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EW05 CLT + str blown,21,(41./1)Rj1 - CA - 0022,Wall - external finish | Infrastructure | Board | Bituminised wood fibre (22 mm) | Screwed,fibre board + bitumen,"Transport, freight, lorry >32 metric ton, EURO5 {RER}| transport, freight, lorry >32 metric ton, EURO5 | Alloc Rec, U",A4-5: Construction process stage,A4,A4,-,Transport to site,tkm,0.33,2.90E-02,1.60E-05,1.56E-05,5.78439E-09,9.44796E-05,9.16788E-06,5.61863E-08,0.455058486,1.91067E-10,5.38226E-09,0.00228074,0.100716501,5.71326E-06,0.044408863,0.00257238,0.003006047,2.62292E-06,0.000402572,0.102537504,8.46129E-05,1.10658E-05,-4.5071E-06
